parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],1.0180778810692717,0.0448524258421425,0.00047805061664924723,8815.024067381099,5491.218123077351,1.000599112606952,,0.9306007942236746,1.1079779855271752
beta0[2],-7.0746845341761295,0.5529434265811903,0.006103551011541383,8907.951862097794,5120.1361769159585,1.0014983937715407,,-8.15493224279809,-6.018348003204439
gamma0[1, 1],-0.42155410732188736,0.06615284391561764,0.0007977985275152404,6885.048457365058,5847.200277408484,1.000427784108998,,-0.5476062259812791,-0.288780233202706
gamma0[1, 2],-6.424395431207701,0.4110718512722615,0.006379216059831365,4276.195297052699,4429.0835632706185,0.9999534032400086,,-7.218491441335034,-5.633761188758739
gamma1[1, 1],-5.812178423217297,0.6282684811939339,0.007136462799995076,8520.881917923154,5074.671143835404,1.0000725847625627,,-7.030741178564959,-4.6323792406205975
gamma1[1, 2],7.758124691307714,0.43630794228140446,0.006749378348229437,4297.721665997646,4467.759179115881,0.9998437522920675,,6.937243789126895,8.6103248187325
gamma2[1, 1],-0.4692349836836977,0.14671703482696707,0.0017152944762466543,7322.880109396506,5920.69300291915,1.0002022361668053,,-0.7500959652354935,-0.17463179196244918
gamma2[1, 2],-0.4504549164883414,0.7452285047759477,0.009848152975196534,5739.905096369366,6217.672646880961,1.0005812679145762,,-1.8892379893947602,1.0526159147359453
gamma3[1, 1],-1.0224004033322394,1.1575897727506583,0.013095298932052402,8009.010864560032,5665.4525336711185,1.0003410829573107,,-3.2371051172595866,1.2539347712340816
gamma3[1, 2],2.713926479256929,0.9644171034371005,0.012804594769069423,5734.808408522349,5308.956200720152,0.9998482722355203,,0.8803701525828075,4.665664830001463
init[1],0.6771412973864103,0.049969331734858104,0.0004623037878243185,11682.758957078368,4826.0399266286595,1.0004163356288955,,0.5808064486350525,0.7720790748048147
init[2],0.3228587026135896,0.049969331734858104,0.0004623037878243183,11682.758957078364,4826.039926628662,1.0004163356288955,,0.22792092519518525,0.4191935513649475
p[1],0.7345060760471582,0.008742496967614222,9.3159882142221e-5,8815.024067381099,5491.218123077351,1.0005969083995114,,0.7175999277686437,0.752136123538572
p[2],0.0009744081418387057,0.0005174854470627252,5.229358009414238e-6,8907.951862097794,5120.1361769159585,1.0010145775726422,,0.00018501027621244868,0.002018546861592905
trans_dd[1,1],0.6037466049836898,0.015810961576961453,0.00019058318822862044,6885.048457365064,5847.200277408484,1.000428103468257,,0.5716974876345019,0.6335800390252394
trans_dd[2,1],0.39625339501631013,0.015810961576961453,0.00019058318822862063,6885.048457365058,5847.200277408484,1.0004277068866687,,0.36641996097476054,0.4283025123654981
trans_dd[1,2],0.0017548156708181056,0.0007029704559201634,1.029963893523354e-5,4276.195297052699,4429.0835632706185,0.9998869514203838,,0.0006036082698798891,0.003215496338693202
trans_dd[2,2],0.9982451843291819,0.0007029704559201633,1.0299638935233505e-5,4276.195297052698,4429.0835632706185,0.9998876382352861,,0.9967845036613068,0.9993963917301201
trans_dc[1,1],0.7083783809142089,0.025739346797675228,0.00024935689954245366,10621.020091930775,6236.548908965028,1.0003080621523583,,0.6568828114536825,0.7578222182913268
trans_dc[2,1],0.291621619085791,0.025739346797675228,0.00024935689954245344,10621.020091930768,6236.548908965028,1.0003093860125991,,0.24217778170867324,0.34311718854631745
trans_dc[1,2],0.0012921541340017867,0.0008813964502968804,9.155164024227234e-6,8625.1257394948,6009.275131180216,0.9999561283102684,,7.559556328207968e-5,0.00300748169047299
trans_dc[2,2],0.9987078458659983,0.0008813964502968801,9.155164024227358e-6,8625.1257394948,6009.275131180211,0.9999562843191847,,0.9969925183095271,0.9999244044367179
trans_cd[1,1],0.9976606449905374,0.0013771102649106314,1.3883301887810107e-5,8626.98561333144,5178.341722863812,1.0001592494150633,,0.9950241762760843,0.9997490559533554
trans_cd[2,1],0.0023393550094625137,0.0013771102649106312,1.388330188781009e-5,8626.98561333145,5178.341722863812,1.0001586945550842,,0.00025094404664457147,0.004975823723915723
trans_cd[1,2],0.7904199313825704,0.024124763253093238,0.0002662354007491081,8205.24140867155,6572.793420241162,0.9999718978799457,,0.7433606008854546,0.8381112276968502
trans_cd[2,2],0.20958006861742962,0.024124763253093238,0.0002662354007491079,8205.24140867155,6572.793420241162,0.9999718978799457,,0.16188877230314982,0.2566393991145454
trans_cc[1,1],0.9992191257380714,0.000876980058537808,8.799293886372532e-6,10423.502041696367,6026.205018015822,0.9999259434235912,,0.9975065777383997,0.9999976155983139
trans_cc[2,1],0.0007808742619286148,0.0008769800585378072,8.799293886372632e-6,10423.502041696373,6026.205018015822,0.9999257733122116,,2.3844016861353126e-6,0.002493422261600298
trans_cc[1,2],0.9650661032333022,0.024951394830550276,0.0002285196922552169,11801.784649040192,5418.066873899207,0.9997124779617501,,0.9162401061701578,0.9990270502482071
trans_cc[2,2],0.034933896766697926,0.024951394830550273,0.0002285196922552169,11801.784649040188,5418.066873899211,0.9997124779617501,,0.0009729497517925722,0.08375989382984206
