parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.647365136121612,0.0744558527813939,0.0015714192896550668,2250.923152647326,3155.6051352946906,1.0054457506142325,,-1.7888674586985607,-1.497837924142803
beta0[2],-5.754303757900128,0.712146541650484,0.013672963346546043,3303.465707466851,2746.01184062608,1.0020081409622934,,-7.117573113152489,-4.498873586551731
beta1[1],1.3814943380346338,0.10758040857898318,0.002318847227269066,2157.268280019662,3157.3409325217617,1.0051502937759773,,1.1711031948820245,1.5872879990490767
beta1[2],16.716094367291078,7.9669560556065395,0.24091397663121408,1483.5904001392778,1395.6868978091386,1.0035093494887595,,7.623578206836063,31.266017022645286
beta2[1],1.1895304369138386,0.1029238817764033,0.0020944960828286627,2422.732144494166,3309.9756742933882,1.0036310081477022,,0.992242761666546,1.3991650684528971
beta2[2],1.218730526606796,1.1720723883474586,0.020165022304710265,3527.0809100421748,3581.769634677261,1.0005321086470271,,-1.0542642658030927,3.429645078179501
beta3[1],0.8379693469375659,0.15478694375262525,0.0031620098943414914,2404.6748255796224,3213.8381684698256,1.0046598647768819,,0.5441847211419436,1.154884199391955
beta3[2],1.7032880601300424,3.429127282726924,0.0772449672420346,3040.2399835118185,1848.5256783736647,1.0011913699983963,,-4.007962145329699,8.452891366643073
trans[1, 1],0.9968658373434782,0.0012659200786539506,2.0808849974466934e-5,3340.5418426281667,3081.5027732428935,1.0011403725443881,,0.9942765749734599,0.9989929808028389
trans[2, 1],0.0031341626565217265,0.0012659200786539506,2.08088499744671e-5,3340.541842628167,3081.5027732428925,1.0011403725443881,,0.0010070191971610796,0.005723425026540108
trans[1, 2],0.01656363879754201,0.0024539756320826303,4.491033995361916e-5,2861.884058909981,1949.5884423521484,1.0029478724503569,,0.011918745542915044,0.021500284473318865
trans[2, 2],0.983436361202458,0.0024539756320826303,4.491033995361981e-5,2861.88405890998,1949.5884423521525,1.0029478724503569,,0.9784997155266811,0.988081254457085
init[1],0.9043900381641604,0.04183899031305645,0.0008187170736318907,2250.9730773512474,1125.9613582795084,1.0028495593309386,,0.8216938852168736,0.9817738463163458
init[2],0.09560996183583959,0.04183899031305645,0.0008187170736318899,2250.973077351244,1125.9613582795057,1.0028495593309386,,0.01822615368365421,0.1783061147831264
pdd[1],0.1617194162201975,0.010119421607321913,0.00021388644146025251,2250.923152647326,3155.6051352946906,1.0054457506142325,,0.14270554224046397,0.1822389589196584
pdd[2],0.0038825810074538886,0.002353306682487447,3.7771341463879715e-5,3303.465707466851,2746.01184062608,1.001417208522599,,5.047589310537056e-5,0.008394767122106652
pdc[1],0.38764638488942055,0.01758555732871843,0.0002325851424006988,5707.925220991935,5152.346019902175,1.0003422213903312,,0.3547338241179615,0.42274286350285273
pdc[2],0.016075905392461166,0.013031847747476769,0.00018766954430514968,4164.657340572366,3564.2877073754044,1.0009524722844307,,1.0371139527612594e-6,0.04189743052314055
pcd[1],0.434015657079798,0.018765320668956514,0.00026441218796893426,5032.758522325688,5343.57679959935,1.0015766735388394,,0.39722060246843066,0.47051187110520215
pcd[2],0.9972353780785242,0.006100667434322457,0.00010971898803829797,1574.5786452450102,1452.2078693676065,1.0029988925202376,,0.9855270987537179,1.0
pcc[1],0.8530760721654445,0.010955291295096552,0.00012348490654101447,7864.354807685797,5720.869271060907,1.0003952038998507,,0.8314846943981462,0.8737175179377438
pcc[2],0.9999170591878326,0.0001785513834392429,2.1479728079999742e-6,1989.442514724647,1539.4187702884005,1.0024061513990763,,0.999575488431945,1.0
