parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-0.8085722863456922,0.12251536291310519,0.001635565003116811,5633.6529355527555,8200.260350747183,1.0006736760069948,,-1.057983911580363,-0.577699313671462
beta0[2],-3.199620584583048,0.1326768950872233,0.0016256460556366545,6762.128042774642,7945.848391838378,1.0011654709369093,,-3.4569613021767944,-2.94126320247195
beta1[1],1.0600073928612206,0.1450354406696817,0.001713515360862377,7156.558565772778,9856.587496895969,1.000912833000655,,0.7725562342125292,1.3402612719084173
beta1[2],2.857376421873413,0.20232665242211398,0.002442101873552228,7137.548906313363,7121.85700414595,1.000919259383688,,2.4623157283275083,3.2561150095627993
beta2[1],0.15985279776072112,0.15487032848351695,0.0021039925401404834,5422.182318134801,8106.860634626613,1.0013657762184152,,-0.13244056895914083,0.4709770253342521
beta2[2],2.679778826303429,0.1854238080493681,0.002052895402722512,8179.300356645386,9583.298052039245,1.0006628459062124,,2.3258673189489545,3.0473932535942865
beta3[1],0.7266156452972602,0.18737031099245455,0.0022314500630104934,7047.077778739575,9198.96135583045,1.0006188198399473,,0.36124483424529336,1.0984664762890544
beta3[2],5.267713355220248,4.0171214518365606,0.2132852541779074,2442.804480397866,1165.8061877026828,1.003738036099023,,2.6658137067167225,9.898960352676555
trans[1, 1],0.9972211962172367,0.0020812613409300286,2.068936714941492e-5,7305.188429896337,5399.675688797758,1.000703948838875,,0.9932190065385977,0.9999994081250833
trans[2, 1],0.0027788037827632213,0.0020812613409300286,2.0689367149414683e-5,7305.188429896337,5399.67568879776,1.000703948838875,,5.91874916767239e-7,0.006780993461402208
trans[1, 2],0.006215732491798825,0.0013485368739311143,1.547388324862536e-5,7591.209832254171,9995.180631016443,1.0006921631133225,,0.0036437953186890526,0.008882592282317692
trans[2, 2],0.9937842675082011,0.0013485368739311143,1.5473883248625374e-5,7591.209832254157,9995.180631016443,1.0006921631133225,,0.9911174077176823,0.9963562046813109
init[1],0.5231328117932,0.06575319871277854,0.0006647851805874421,9794.898462439889,10208.27685085342,1.0001779923647762,,0.39569557276941447,0.6507156608275101
init[2],0.47686718820679996,0.06575319871277856,0.0006647851805874421,9794.898462439898,10208.27685085342,1.0001778536985224,,0.3492843391724899,0.6043044272305855
pdd[1],0.30880636007023715,0.02604062550339981,0.00034724968002789765,5633.6529355527555,8200.260350747183,1.0006736760069948,,0.25769492028584756,0.35946215319511143
pdd[2],0.03948388921867203,0.004987381286127736,6.029048492680196e-5,6762.128042774642,7945.848391838378,1.0011654709369093,,0.030154004374231477,0.04953764523459588
pdc[1],0.3435912473613469,0.021210552405402386,0.00017014357751221043,15523.684544865502,11362.603630794878,1.0007016523581374,,0.30180850029972806,0.3851966691792071
pdc[2],0.37337783244546474,0.02995761644374261,0.00022234584643443932,18079.734718005995,11429.295831203244,1.0007394453696814,,0.31562269302631857,0.43253708827655646
pcd[1],0.5623432104955554,0.02743910243072583,0.0002531508987996368,12154.257876679883,9954.670258182643,1.0003366504022349,,0.5095449321295489,0.6160102059767325
pcd[2],0.4156654208204794,0.03417194930956978,0.00028541508320495087,15506.970861844631,9708.138800855622,1.0002369343914488,,0.3510467367337947,0.4826553020150686
pcc[1],0.7568465836496289,0.017961444379118514,0.0001312756824461707,18846.380304437036,13319.279065346702,1.0003062971122865,,0.7209743492614924,0.7905996593498252
pcc[2],0.9985763199286832,0.0011515809136244451,1.4666633710300462e-5,2464.5863892705192,1161.9014479072207,1.0038100902504792,,0.996398039147822,1.0
