parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0,-1.9165496759370324,0.04295492757049778,0.0007643113893616702,3159.998043088277,3987.866080274306,1.0001197488132303,55.24375523309517,-2.0038980064353775,-1.8349884537510213
beta1,2.2810992106585952,0.06289339843789261,0.0011032620235566543,3249.0952584794395,4417.285121330572,1.000559527287616,56.80137162775895,2.1602844852206102,2.406331761691096
beta2,0.1957880730940705,0.07606892636523492,0.0013208278818531449,3316.5101599990207,4466.692960453008,1.0013024273127713,57.97993321793361,0.048613830195566234,0.34211930322939726
beta3,0.844457370568668,0.12636134198670138,0.002146391361921637,3465.7037330696016,4098.697138379427,1.0012789989242428,60.588166868928894,0.6024771306208172,1.099737063213941
pdd,0.12832344969356854,0.004800093062366999,8.545469813187804e-5,3159.998043088277,3987.866080274306,1.0001197488132303,,0.11879426346010259,0.13764507812293741
pdc,0.15195247666484019,0.008145292119037532,0.00010694993057066613,5808.9814823268525,5678.824340596187,1.0013312058914445,,0.13626116736987398,0.16805387179847228
pcd,0.5900942473491313,0.011246537439627245,0.00013376174946130715,7079.839143385267,6191.087971435659,1.0003411552482007,,0.567714847627991,0.6118852587873324
pcc,0.8025700128426334,0.013964374766489016,0.00014822384631505168,8880.816368570797,6836.295025891612,0.9998523380510751,,0.7740315789212403,0.8288564138007757
