parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
pdd[1],0.9750009328032463,0.01221702826081837,0.0002245440991134661,2751.8937851927526,1703.2257631918442,1.0005660837146673,,0.9513440461366588,0.9949290114593827
pdd[2],0.01204382365116902,0.0032135690797318933,7.038848449978135e-5,1970.620595643578,1395.0333765083526,1.001229832118836,,0.006186140076095178,0.01880941006703325
pdc[1],0.9978795769132024,0.0028159239415718362,5.772712161463721e-5,2640.2454401687837,2011.3519857600966,1.0013519286705388,,0.9925129060608417,0.9999721590293571
pdc[2],0.24325178817880388,0.019676910280444902,0.00035222576908169336,3117.7677670442927,2756.169240481162,1.003297852821567,,0.20466910129224633,0.28090648823059217
pcd[1],0.6434939805972988,0.02235628204803952,0.0004060221314663005,3101.7009002004716,2179.8825698587725,1.0025406629517728,,0.6003875686733058,0.6885600597853504
pcd[2],0.002400030900922206,0.0029725217148594755,5.084698231570453e-5,3149.55786302113,2097.1368500888293,1.0007083841183968,,2.5175635735333302e-5,0.007925560466256839
pcc[1],0.9975892021120505,0.0013030225150551188,2.4310844812384893e-5,2545.6024751115096,1743.3179669759795,1.0012234763966623,,0.9951366369615887,0.9998616987988422
pcc[2],0.010755300262496381,0.010483051990494383,0.0001617043599136558,4380.936069878218,1916.57982206445,1.0019967076038823,,9.67733506099497e-5,0.031360349494554934
trans_dd[1,1],0.5619647760522217,0.025253831586315976,0.0004527509989499925,3164.2516600699564,2118.6819202307242,1.002718395568544,,0.5091330880877726,0.6083176109495554
trans_dd[2,1],0.4380352239477784,0.025253831586315976,0.000452750998949994,3164.251660069948,2118.681920230722,1.0027346616527106,,0.39168238905044456,0.49086691191222737
trans_dd[1,2],0.0030877661902800795,0.0012112865060717095,2.2261832796533654e-5,2943.4908819008374,2034.7789578539291,1.0035088019181486,,0.0010339504409927723,0.005423509828079628
trans_dd[2,2],0.9969122338097198,0.0012112865060717086,2.2261832796534342e-5,2943.4908819008388,2034.7789578539291,1.0035088019181486,,0.9945764901719204,0.9989660495590073
trans_dc[1,1],0.29268788883146296,0.04568955475580556,0.0007891685301728308,3362.2119084931264,2385.4073548758947,1.0044619254894096,,0.20953756290072764,0.3850392054730772
trans_dc[2,1],0.707312111168537,0.04568955475580556,0.0007891685301728309,3362.2119084931182,2385.4073548758947,1.0044619254894096,,0.6149607945269228,0.7904624370992723
trans_dc[1,2],0.0011177351864979151,0.0010187424426926998,1.8983025831999152e-5,2398.9751603785594,1940.95602025533,1.0012137114380757,,1.9581733710262676e-5,0.003185630985730636
trans_dc[2,2],0.9988822648135023,0.0010187424426927015,1.898302583199969e-5,2398.9751603785553,1940.95602025533,1.0012150356487213,,0.9968143690142693,0.9999804182662897
trans_cd[1,1],0.9970659865532525,0.0021001115107510877,3.462263538369903e-5,3538.91247217252,2337.105289116297,1.0007827209794167,,0.9928342067904276,0.9997928221734511
trans_cd[2,1],0.002934013446747553,0.0021001115107510864,3.4622635383698856e-5,3538.91247217252,2337.105289116297,1.0007827209794167,,0.0002071778265488603,0.007165793209572489
trans_cd[1,2],0.7552070540536068,0.04738421392278462,0.0007893156163440777,3572.307331200241,2343.3220836464952,1.0005865246585046,,0.6610776366628266,0.8462546868471256
trans_cd[2,2],0.24479294594639328,0.04738421392278462,0.0007893156163440777,3572.307331200241,2343.322083646497,1.0005884241911436,,0.15374531315287446,0.3389223633371735
trans_cc[1,1],0.9995114152119603,0.00038374818204836656,6.198622047807665e-6,3777.72549796272,1790.5682645083953,1.001950886356099,,0.998765806137145,0.999980773715102
trans_cc[2,1],0.0004885847880396544,0.00038374818204836564,6.19862204780734e-6,3777.72549796272,1790.5682645083953,1.00194196877614,,1.922628489806321e-5,0.00123419386285492
trans_cc[1,2],0.42769205531099536,0.02865038073882268,0.0005378914926170747,2817.0693361095123,2241.9183027481495,1.0021048374441344,,0.37283465273352656,0.48643696454903845
trans_cc[2,2],0.5723079446890047,0.02865038073882268,0.0005378914926170738,2817.0693361095123,2241.9183027481495,1.0021061939246145,,0.5135630354509615,0.6271653472664734
