statistic,total,se_total,mean,se_mean
cv_elpd,-2068.971363612115,175.6064507161627,-22.488819169696903,1.9087657686539423
naive_lpd,-2025.5749264635624,170.84909459880708,-22.017118765908286,1.85705537607399
p_eff,43.39643714855372,11.13334777228743,0.47170040378862743,0.12101464969877641
