parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0,-2.147439498728948,0.0600839999419264,0.0011326708169710677,2822.3132717225594,3914.2485664803016,1.0004723213867102,27.55277373231829,-2.266825272222128,-2.028962988210239
beta1,2.4439005193433068,0.08958294730296561,0.0016954311368829133,2790.928935059543,3671.2803681196315,1.00089266027606,27.24638480821164,2.261951816900701,2.612278954779041
beta2,1.4214712997765897,0.09140455736040118,0.0017561627782530103,2709.256681651643,3857.4291672948466,1.0004688099683443,26.449061158529407,1.239305623745595,1.5956634536422105
beta3,1.1971935893160484,0.13309989254122426,0.0025655775053318665,2695.273622532257,3652.078622223077,1.000795421827949,26.312551839077805,0.929586951821272,1.4543874782482367
pdd,0.10470425626474832,0.0056237501786982865,0.00010606340255642956,2822.3132717225594,3914.2485664803016,1.0004723213867102,,0.0932527418046766,0.1155163291276229
pdc,0.32625609065065475,0.014912862422988026,0.00020441296346750994,5290.858570370116,5264.153306253998,1.000276599715168,,0.2973428602681753,0.35518836299977896
pcd,0.5735014154291161,0.01584429224182698,0.00021062571852588604,5670.262222114774,5199.177182181033,1.001266953372156,,0.5406744886059996,0.6029550694634032
pcc,0.9484798302652464,0.003447606996481824,3.7741570854046064e-5,8337.724186951707,6843.450658660706,1.000288687741562,,0.9419142374588968,0.9552393347118302
