parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-2.210892200355804,0.06061419970991461,0.0005389922994611264,12712.169365922347,8825.431856909898,1.0002075128192778,,-2.3344532289079365,-2.0981519389530754
beta0[2],6.361047850478903,0.5897368128150902,0.005355551324544038,13095.56046189701,8062.706484215218,1.0001795791485395,,5.254298909977146,7.5315903553299455
gamma0[1, 1],-6.2172464535405085,0.4418162732021531,0.0050827735541971175,7894.385739264201,7021.784316446066,1.0004511202577742,,-7.088013272881689,-5.382988721119122
gamma0[1, 2],0.4573324756941511,0.13087421370716523,0.0013140045776553757,9952.344959455773,9201.151851909992,1.0011018865972499,,0.21612311155848485,0.7222597331276662
gamma1[1, 1],4.968157621306948,0.45147631359539325,0.005189351227236295,7864.054720869068,7322.462230837207,1.0007403052530888,,4.137759493473379,5.897617227655734
gamma1[1, 2],-5.096384861852784,0.7952270914606726,0.008216593790124583,9885.498601544617,7962.821930649965,1.0000616946695442,,-6.688988235955555,-3.6362350389491866
gamma2[1, 1],-0.0869540613466289,0.8392760949876417,0.009318215541884679,8224.800746204106,7783.813231135384,1.0010516563278538,,-1.7872682814242302,1.469518765456132
gamma2[1, 2],-0.06438527349468594,0.21911763756922809,0.0021758073196143065,10128.865051719566,8899.15401300953,1.0002122476189428,,-0.4896885515458124,0.3666582169079105
gamma3[1, 1],1.3444049418450366,0.8437752391979723,0.00936499478412067,8218.034399650156,7749.3623846421,1.0013736210975102,,-0.2647206580797772,3.0130940199885816
gamma3[1, 2],-3.1742413044715785,0.9455111689117376,0.009354321601274267,10222.262620548352,8797.591870680051,1.0001470685318712,,-5.065930183675654,-1.3564378759498144
init[1],0.5424779264225381,0.05488429891839424,0.0004565977367632662,14429.062302238264,8167.000606086149,1.0002615904629588,,0.43642682099949703,0.6483279101911817
init[2],0.45752207357746183,0.05488429891839424,0.00045659773676326617,14429.062302238264,8167.000606086149,1.0002615904629588,,0.35167208980881826,0.563573179000503
p[1],0.0989076395064197,0.005387750499926004,4.775266469243521e-5,12712.169365922347,8825.431856909898,1.000178265974841,,0.08823613362139994,0.10919642965235186
p[2],0.9979780903172957,0.0011320212741487933,9.483424955122155e-6,13095.56046189701,8062.706484215218,1.0002228307399275,,0.9958033453178483,0.9997581603168193
trans_dd[1,1],0.9978171055982966,0.0009321365276536278,1.0011139573900844e-5,7894.385739264201,7021.784316446066,1.0004799254894894,,0.9959492909390522,0.9993900698789032
trans_dd[2,1],0.0021828944017034608,0.0009321365276536281,1.001113957390079e-5,7894.385739264201,7021.784316446066,1.0004799254894894,,0.0006099301210967568,0.0040507090609478835
trans_dd[1,2],0.6119256181864086,0.030931808986060468,0.00031030490726118097,9952.344959455773,9201.151851909992,1.001091625978082,,0.5545974759430403,0.6738364156727168
trans_dd[2,2],0.38807438181359144,0.030931808986060464,0.0003103049072611809,9952.344959455759,9201.151851909992,1.0010916412924746,,0.32616358432728326,0.44540252405695957
trans_dc[1,1],0.9974349078681339,0.0022335398642007124,2.1941422628296426e-5,9630.901947799714,7662.288122641775,1.0001400103863778,,0.9932049859669099,0.9999174915700915
trans_dc[2,1],0.002565092131866086,0.0022335398642007124,2.1941422628296494e-5,9630.901947799717,7662.288122641775,1.000140280450439,,8.250842990852996e-5,0.006795014033090095
trans_dc[1,2],0.5963445006300213,0.04012701947118103,0.0003491089874985765,13213.560045610217,10099.877868265608,1.0004540441057703,,0.51910613669788,0.6751946646746979
trans_dc[2,2],0.4036554993699787,0.04012701947118103,0.00034910898749857677,13213.560045610217,10099.877868265608,1.0004557430985572,,0.3248053353253021,0.48089386330212003
trans_cd[1,1],0.7765183208265183,0.01973423950893074,0.0001796593066523006,12033.47986020651,7561.469802097715,1.0012813514781211,,0.7369995692185197,0.8136653109883331
trans_cd[2,1],0.22348167917348155,0.01973423950893074,0.00017965930665230065,12033.479860206508,7561.469802097715,1.0012813514781211,,0.18633468901166694,0.2630004307814803
trans_cd[1,2],0.012461698895718942,0.009044640256354573,8.374576011330444e-5,10096.235629475328,7888.375844906812,1.0002224672269109,,0.0006450228352616127,0.030595123099707775
trans_cd[2,2],0.9875383011042811,0.009044640256354574,8.374576011330455e-5,10096.23562947532,7888.375844906812,1.0002224672269109,,0.9694048769002922,0.9993549771647384
trans_cc[1,1],0.4979142509349415,0.024619211342789875,0.00022386399467450672,12113.488377654015,9006.92666963413,1.0002500446024007,,0.4504102957223908,0.54606662084677
trans_cc[2,1],0.5020857490650585,0.024619211342789875,0.00022386399467450672,12113.488377654021,9006.92666963413,1.0002500446024007,,0.45393337915322995,0.5495897042776093
trans_cc[1,2],0.0005086577445983416,0.00038471316798453114,2.9665489928826017e-6,15578.064438441503,8563.439050791998,1.000465879932434,,1.2699977929159585e-5,0.0012637345812780987
trans_cc[2,2],0.9994913422554017,0.00038471316798453217,2.9665489928826593e-6,15578.06443844153,8563.439050791998,1.0004656557384501,,0.9987362654187218,0.9999873000220708
