statistic;total;se_total;mean;se_mean
cv_elpd;-3155.576662799526;234.00742722775715;-34.29974633477745;2.543558991606056
naive_lpd;-3121.776537873407;231.19340332195392;-33.93235367253703;2.5129717752386296
p_eff;33.80012492611831;7.111462669326961;0.3673926622404164;0.07729850727529305
