parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0,-1.9134894032043315,0.04241854470372919,0.0005202414460419641,6657.306375920023,9416.665949034857,1.0003325815561315,54.50241410693691,-1.9963193459839923,-1.831156482109023
beta[1],2.2765991692122856,0.062221402854280516,0.0007344510629895161,7177.276563614543,9388.51794955144,1.0004206836442537,58.75933558429223,2.1568498953051454,2.4012515109643866
beta[2],0.19335676853549408,0.07702566411075105,0.0009271398197471976,6905.699146332226,9226.35318079816,1.000121892369184,56.53597015343991,0.035114607245380056,0.3390051602115298
beta[3],0.8461035915271439,0.12514147789187186,0.001460559393570645,7331.43924534507,10122.325504398224,1.0001952752626275,60.021443386616696,0.6010938835718411,1.0943695773416722
pdd,0.1286641991073909,0.004753761663906132,5.824115214791996e-5,6657.306375920023,9416.665949034857,1.0003325815561315,,0.11942860850005795,0.1379271953707221
pdc,0.15203820350963093,0.008255389040889282,7.591546838765012e-5,11830.47083802237,12053.7931412219,1.0003097589597743,,0.13563311481612383,0.16779770182156456
pcd,0.5897461625648457,0.011238980902500306,9.025947334547204e-5,15499.632012054597,12587.207453788269,1.0001099580148476,,0.5674345629338385,0.6116927345245429
pcc,0.8022124844511839,0.014100983764821476,0.00011208129381632644,15943.53277411203,14006.158399075637,1.0004442436041305,,0.7750414060324579,0.8298666468029161
