parameters;mean;std;mcse;ess_bulk;ess_tail;rhat;ess_per_sec;lower;upper
beta0;-2.1429972111026454;0.05884440982966549;0.0011461761803345687;2644.754036980605;3272.9804029915645;1.0013945538703806;40.71984660478222;-2.255079564945529;-2.02575179747543
beta1;2.4375350366822697;0.08747701307307017;0.0017096604434919617;2617.0102117589745;3148.1724512872547;1.00277413962043;40.29268994240145;2.26557660414155;2.6092825617660753
beta2;1.4163654247577846;0.08798223880229926;0.0016954070795818774;2696.9022636223544;3154.1482764807893;1.000832663507246;41.522744628519696;1.2498124931031862;1.5896244573989002
beta3;1.2043998158855216;0.129595344896147;0.0024759546463363987;2742.6311075499543;3240.6879516241383;1.001629064953551;42.226806890684436;0.9607203619673351;1.463501284297418
pdd;0.10511579620513381;0.005525819250620119;0.0001074523786390093;2644.754036980605;3272.9804029915645;1.001443024591398;;0.09467777818808303;0.11628664853173863
pdc;0.3261042646700691;0.014648167746036462;0.0002201603114517592;4425.754261074853;3895.0841912476376;1.0022918959257163;;0.2962050101987718;0.35332580258095897
pcd;0.5730317802643922;0.01582357710167987;0.00023479383059387893;4579.029832124107;4011.1680571378383;1.0009326839940214;;0.5404984466055213;0.6024207792061345
pcc;0.9484863809959959;0.003487001382331216;4.334960115370314e-5;6427.095754936312;4509.245635189906;1.0009879785491547;;0.9416380825772634;0.9550089870234679
