round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;context;prev;prev_player;prev_opp
22;s12n11usuario14;D;s12n11usuario9;D;1;431.760.001.183;4270;rand;s12n11;CDD;CD;C;D
23;s12n11usuario14;D;s12n11usuario4;D;1;227.639.985.085;2251;rand;s12n11;DDD;DD;D;D
24;s12n11usuario14;D;s12n11usuario10;C;4;172.889.995.575;1704;rand;s12n11;DDD;DD;D;D
25;s12n11usuario14;D;s12n11usuario10;D;1;195.140.004.158;1926;rand;s12n11;DCD;DC;D;C
26;s12n11usuario14;D;s12n11usuario13;D;1;236.120.009.422;2334;rand;s12n11;DDD;DD;D;D
27;s12n11usuario14;D;s12n11usuario15;C;4;133.449.983.597;1309;rand;s12n11;DDD;DD;D;D
28;s12n11usuario14;D;s12n11usuario8;D;1;173.810.005.188;1715;rand;s12n11;DCD;DC;D;C
29;s12n11usuario14;D;s12n11usuario4;D;1;111.370.015.144;1091;rand;s12n11;DDD;DD;D;D
30;s12n11usuario14;D;s12n11usuario18;D;1;101.370.000.839;986;rand;s12n11;DDD;DD;D;D
31;s12n11usuario14;D;s12n11usuario15;C;4;551.620.006.561;5457;rand;s12n11;DDD;DD;D;D
32;s12n11usuario14;D;s12n11usuario5;D;1;749.940.013.885;7470;rand;s12n11;DCD;DC;D;C
33;s12n11usuario14;D;s12n11usuario12;C;4;140.709.996.223;1383;rand;s12n11;DDD;DD;D;D
34;s12n11usuario14;D;s12n11usuario13;C;4;347.639.989.853;3456;rand;s12n11;DCD;DC;D;C
35;s12n11usuario14;D;s12n11usuario12;C;4;184.719.991.684;1820;rand;s12n11;DCD;DC;D;C
36;s12n11usuario14;D;s12n11usuario16;D;1;15.529.999.733;1526;rand;s12n11;DCD;DC;D;C
37;s12n11usuario14;D;s12n11usuario9;D;1;144.050.002.098;1420;rand;s12n11;DDD;DD;D;D
38;s12n11usuario14;D;s12n11usuario5;C;4;438.859.987.259;4359;rand;s12n11;DDD;DD;D;D
39;s12n11usuario14;D;s12n11usuario17;C;4;294.819.998.741;2920;rand;s12n11;DCD;DC;D;C
40;s12n11usuario14;D;s12n11usuario13;D;1;249.469.995.499;2476;rand;s12n11;DCD;DC;D;C
41;s12n11usuario14;D;s12n11usuario12;C;4;306.550.002.098;3040;rand;s12n11;DDD;DD;D;D
42;s12n11usuario14;D;s12n11usuario11;D;1;967.179.989.815;9647;rand;s12n11;DCD;DC;D;C
43;s12n11usuario14;D;s12n11usuario5;D;1;27.896.001.339;2767;rand;s12n11;DDD;DD;D;D
44;s12n11usuario14;D;s12n11usuario12;C;4;359.660.005.569;3570;rand;s12n11;DDD;DD;D;D
45;s12n11usuario14;D;s12n11usuario11;D;1;758.189.988.136;7548;rand;s12n11;DCD;DC;D;C
46;s12n11usuario14;D;s12n11usuario3;C;4;167.419.981.956;1655;rand;s12n11;DDD;DD;D;D
47;s12n11usuario14;D;s12n11usuario8;D;1;853.169.989.586;8502;rand;s12n11;DCD;DC;D;C
48;s12n11usuario14;D;s12n11usuario12;C;4;200.960.016.251;1991;rand;s12n11;DDD;DD;D;D
49;s12n11usuario14;D;s12n11usuario5;C;4;245.569.992.065;2433;rand;s12n11;DCD;DC;D;C
50;s12n11usuario14;D;s12n11usuario16;D;1;119.589.996.338;1167;rand;s12n11;DCD;DC;D;C
51;s12n11usuario14;D;s12n11usuario4;D;1;132.270.002.365;1299;rand;s12n11;DDD;DD;D;D
52;s12n11usuario14;D;s12n11usuario10;D;1;108.809.995.651;1057;rand;s12n11;DDD;DD;D;D
53;s12n11usuario14;D;s12n11usuario12;D;1;322.630.000.114;3200;rand;s12n11;DDD;DD;D;D
54;s12n11usuario14;D;s12n11usuario6;D;1;512.699.985.504;5099;rand;s12n11;DDD;DD;D;D
55;s12n11usuario14;D;s12n11usuario18;D;1;466.540.002.823;4641;rand;s12n11;DDD;DD;D;D
56;s12n11usuario14;D;s12n11usuario11;D;1;8.459.999.561.310.000;820;rand;s12n11;DDD;DD;D;D
57;s12n11usuario14;D;s12n11usuario7;D;1;443.379.998.207;4409;rand;s12n11;DDD;DD;D;D
58;s12n11usuario14;D;s12n11usuario17;C;4;363.400.006.294;3607;rand;s12n11;DDD;DD;D;D
59;s12n11usuario14;D;s12n11usuario18;D;1;187.319.993.973;1834;rand;s12n11;DCD;DC;D;C
60;s12n11usuario14;D;s12n11usuario5;C;4;104.540.014.267;1027;rand;s12n11;DDD;DD;D;D
61;s12n11usuario14;D;s12n11usuario16;D;1;144.029.998.779;1420;rand;s12n11;DCD;DC;D;C
62;s12n11usuario14;D;s12n11usuario12;C;4;136.430.001.259;1342;rand;s12n11;DDD;DD;D;D
63;s12n11usuario14;D;s12n11usuario3;D;1;10.458.699.941.600.000;10397;rand;s12n11;DCD;DC;D;C
64;s12n11usuario14;D;s12n11usuario11;D;1;114.070.010.185;1110;rand;s12n11;DDD;DD;D;D
65;s12n11usuario14;D;s12n11usuario11;D;1;133.809.995.651;1314;rand;s12n11;DDD;DD;D;D
66;s12n11usuario14;D;s12n11usuario8;D;1;953.099.966.049;926;rand;s12n11;DDD;DD;D;D
67;s12n11usuario14;D;s12n11usuario4;D;1;108.809.995.651;1064;rand;s12n11;DDD;DD;D;D
68;s12n11usuario14;D;s12n11usuario6;D;1;206.770.014.763;2051;rand;s12n11;DDD;DD;D;D
69;s12n11usuario14;D;s12n11usuario2;D;1;249.020.004.272;2467;rand;s12n11;DDD;DD;D;D
70;s12n11usuario14;D;s12n11usuario11;D;1;102.079.987.526;1001;rand;s12n11;DDD;DD;D;D
71;s12n11usuario14;D;s12n11usuario12;C;4;219.749.999.046;2177;rand;s12n11;DDD;DD;D;D
72;s12n11usuario14;D;s12n11usuario1;C;4;144.179.987.907;1424;rand;s12n11;DCD;DC;D;C
73;s12n11usuario14;D;s12n11usuario7;C;4;128.099.989.891;1255;rand;s12n11;DCD;DC;D;C
74;s12n11usuario14;D;s12n11usuario1;C;4;123.379.993.439;1204;rand;s12n11;DCD;DC;D;C
75;s12n11usuario14;D;s12n11usuario12;C;4;288.520.002.365;2860;rand;s12n11;DCD;DC;D;C
76;s12n11usuario14;D;s12n11usuario4;D;1;136.209.988.594;1339;rand;s12n11;DCD;DC;D;C
77;s12n11usuario14;D;s12n11usuario17;C;4;135.829.997.063;1336;rand;s12n11;DDD;DD;D;D
78;s12n11usuario14;D;s12n11usuario1;C;4;260.260.009.766;2574;rand;s12n11;DCD;DC;D;C
79;s12n11usuario14;D;s12n11usuario8;D;1;205.219.984.055;2028;rand;s12n11;DCD;DC;D;C
80;s12n11usuario14;D;s12n11usuario12;C;4;17.648.999.691;1738;rand;s12n11;DDD;DD;D;D
81;s12n11usuario14;D;s12n11usuario10;C;4;149.410.009.384;1467;rand;s12n11;DCD;DC;D;C
82;s12n11usuario14;D;s12n11usuario17;C;4;120.590.019.226;1180;rand;s12n11;DCD;DC;D;C
83;s12n11usuario14;D;s12n11usuario11;D;1;119.099.998.474;1162;rand;s12n11;DCD;DC;D;C
84;s12n11usuario14;D;s12n11usuario6;D;1;30.368.001.461;3007;rand;s12n11;DDD;DD;D;D
85;s12n11usuario14;D;s12n11usuario1;C;4;186.180.019.379;1831;rand;s12n11;DDD;DD;D;D
86;s12n11usuario14;D;s12n11usuario13;D;1;110.780.000.687;1082;rand;s12n11;DCD;DC;D;C
87;s12n11usuario14;D;s12n11usuario3;C;4;252.519.989.014;2509;rand;s12n11;DDD;DD;D;D
88;s12n11usuario14;D;s12n11usuario8;D;1;140.529.990.196;1378;rand;s12n11;DCD;DC;D;C
89;s12n11usuario14;D;s12n11usuario8;D;1;468.780.016.899;4662;rand;s12n11;DDD;DD;D;D
90;s12n11usuario14;D;s12n11usuario9;D;1;3.921.099.901.199.990;3896;rand;s12n11;DDD;DD;D;D
91;s12n11usuario14;D;s12n11usuario3;D;1;247.909.998.894;2450;rand;s12n11;DDD;DD;D;D
92;s12n11usuario14;D;s12n11usuario12;C;4;105.090.022.087;1020;rand;s12n11;DDD;DD;D;D
93;s12n11usuario14;D;s12n11usuario4;D;1;223.549.985.886;2209;rand;s12n11;DCD;DC;D;C
94;s12n11usuario14;D;s12n11usuario10;D;1;728.020.000.458;7249;rand;s12n11;DDD;DD;D;D
95;s12n11usuario14;D;s12n11usuario12;C;4;101.259.994.507;987;rand;s12n11;DDD;DD;D;D
96;s12n11usuario14;D;s12n11usuario12;C;4;202.939.987.183;2011;rand;s12n11;DCD;DC;D;C
97;s12n11usuario14;D;s12n11usuario8;D;1;282.620.000.839;2798;rand;s12n11;DCD;DC;D;C
98;s12n11usuario14;D;s12n11usuario8;D;1;129.830.002.785;1272;rand;s12n11;DDD;DD;D;D
99;s12n11usuario14;D;s12n11usuario16;D;1;208.429.980.278;2056;rand;s12n11;DDD;DD;D;D
100;s12n11usuario14;D;s12n11usuario1;D;1;185.399.985.313;1828;rand;s12n11;DDD;DD;D;D
1;s12n11usuario15;C;s12n11usuario9;C;3;109.558.999.538;10900;rand;s12n11;--;--;;
2;s12n11usuario15;C;s12n11usuario13;D;0;314.579.987.526;3115;rand;s12n11;CCC;CC;C;C
3;s12n11usuario15;D;s12n11usuario1;D;1;375.660.014.153;3729;rand;s12n11;CDD;CD;C;D
4;s12n11usuario15;C;s12n11usuario9;C;3;292.969.989.777;2904;rand;s12n11;DDC;DD;D;D
5;s12n11usuario15;C;s12n11usuario2;C;3;26.944.000.721;2670;rand;s12n11;CCC;CC;C;C
6;s12n11usuario15;C;s12n11usuario12;C;3;239.409.995.079;2370;rand;s12n11;CCC;CC;C;C
7;s12n11usuario15;C;s12n11usuario13;C;3;197.379.994.392;1947;rand;s12n11;CCC;CC;C;C
8;s12n11usuario15;C;s12n11usuario7;C;3;330.690.002.441;3280;rand;s12n11;CCC;CC;C;C
9;s12n11usuario15;C;s12n11usuario7;C;3;227.980.017.662;2248;rand;s12n11;CCC;CC;C;C
10;s12n11usuario15;C;s12n11usuario14;D;0;198.699.998.856;1939;rand;s12n11;CCC;CC;C;C
11;s12n11usuario15;C;s12n11usuario7;C;3;252.849.984.169;2506;rand;s12n11;CDC;CD;C;D
12;s12n11usuario15;C;s12n11usuario2;D;0;268.069.982.529;2653;rand;s12n11;CCC;CC;C;C
13;s12n11usuario15;D;s12n11usuario13;D;1;227.489.995.956;2248;rand;s12n11;CDD;CD;C;D
14;s12n11usuario15;D;s12n11usuario17;D;1;42.008.998.394;4174;rand;s12n11;DDD;DD;D;D
15;s12n11usuario15;C;s12n11usuario16;D;0;191.550.016.403;1893;rand;s12n11;DDC;DD;D;D
16;s12n11usuario15;C;s12n11usuario12;C;3;125.469.994.545;1232;rand;s12n11;CDC;CD;C;D
17;s12n11usuario15;C;s12n11usuario16;D;0;201.620.006.561;1994;rand;s12n11;CCC;CC;C;C
18;s12n11usuario15;C;s12n11usuario7;D;0;222.390.007.973;2197;rand;s12n11;CDC;CD;C;D
19;s12n11usuario15;D;s12n11usuario4;D;1;2.380.399.942.400.000;2351;rand;s12n11;CDD;CD;C;D
20;s12n11usuario15;D;s12n11usuario10;D;1;191.989.994.049;1896;rand;s12n11;DDD;DD;D;D
21;s12n11usuario15;D;s12n11usuario12;C;4;238.389.992.714;2355;rand;s12n11;DDD;DD;D;D
22;s12n11usuario15;C;s12n11usuario17;C;3;336.199.998.856;3337;rand;s12n11;DCC;DC;D;C
23;s12n11usuario15;C;s12n11usuario11;D;0;210.929.989.815;2085;rand;s12n11;CCC;CC;C;C
24;s12n11usuario15;D;s12n11usuario13;D;1;839.339.995.384;8338;rand;s12n11;CDD;CD;C;D
25;s12n11usuario15;D;s12n11usuario16;D;1;257.540.011.406;2550;rand;s12n11;DDD;DD;D;D
26;s12n11usuario15;C;s12n11usuario12;C;3;171.410.012.245;1697;rand;s12n11;DDC;DD;D;D
27;s12n11usuario15;C;s12n11usuario14;D;0;186.660.003.662;1841;rand;s12n11;CCC;CC;C;C
28;s12n11usuario15;C;s12n11usuario6;D;0;174.070.000.648;1716;rand;s12n11;CDC;CD;C;D
29;s12n11usuario15;C;s12n11usuario17;C;3;232.669.997.215;2297;rand;s12n11;CDC;CD;C;D
30;s12n11usuario15;D;s12n11usuario3;D;1;243.649.983.406;2410;rand;s12n11;CCD;CC;C;C
31;s12n11usuario15;C;s12n11usuario14;D;0;260.570.001.602;2586;rand;s12n11;DDC;DD;D;D
32;s12n11usuario15;C;s12n11usuario2;D;0;313.459.992.409;3106;rand;s12n11;CDC;CD;C;D
33;s12n11usuario15;D;s12n11usuario8;D;1;248.269.987.106;2457;rand;s12n11;CDD;CD;C;D
34;s12n11usuario15;D;s12n11usuario5;D;1;260.229.992.867;2578;rand;s12n11;DDD;DD;D;D
35;s12n11usuario15;C;s12n11usuario9;D;0;215.459.990.501;2127;rand;s12n11;DDC;DD;D;D
36;s12n11usuario15;C;s12n11usuario9;D;0;192.409.992.218;1899;rand;s12n11;CDC;CD;C;D
37;s12n11usuario15;D;s12n11usuario8;D;1;311.969.995.499;3090;rand;s12n11;CDD;CD;C;D
38;s12n11usuario15;D;s12n11usuario13;C;4;223.849.987.984;2213;rand;s12n11;DDD;DD;D;D
39;s12n11usuario15;D;s12n11usuario6;D;1;261.759.996.414;2589;rand;s12n11;DCD;DC;D;C
40;s12n11usuario15;D;s12n11usuario12;C;4;180.520.009.995;1778;rand;s12n11;DDD;DD;D;D
41;s12n11usuario15;C;s12n11usuario4;C;3;349.789.977.074;3475;rand;s12n11;DCC;DC;D;C
42;s12n11usuario15;C;s12n11usuario18;D;0;29.766.998.290.999.900;2950;rand;s12n11;CCC;CC;C;C
43;s12n11usuario15;C;s12n11usuario18;D;0;193.669.986.725;1912;rand;s12n11;CDC;CD;C;D
44;s12n11usuario15;C;s12n11usuario5;D;0;210.920.000.076;2086;rand;s12n11;CDC;CD;C;D
45;s12n11usuario15;D;s12n11usuario18;D;1;370.989.990.234;3684;rand;s12n11;CDD;CD;C;D
46;s12n11usuario15;D;s12n11usuario5;D;1;179.710.006.714;1769;rand;s12n11;DDD;DD;D;D
47;s12n11usuario15;D;s12n11usuario12;C;4;194.029.998.779;1914;rand;s12n11;DDD;DD;D;D
48;s12n11usuario15;D;s12n11usuario9;D;1;315.700.006.485;3139;rand;s12n11;DCD;DC;D;C
49;s12n11usuario15;C;s12n11usuario2;D;0;287.649.989.128;2851;rand;s12n11;DDC;DD;D;D
50;s12n11usuario15;C;s12n11usuario11;D;0;157.109.999.657;1544;rand;s12n11;CDC;CD;C;D
51;s12n11usuario15;C;s12n11usuario7;D;0;157.700.014.114;1546;rand;s12n11;CDC;CD;C;D
52;s12n11usuario15;C;s12n11usuario18;D;0;187.350.010.872;1839;rand;s12n11;CDC;CD;C;D
53;s12n11usuario15;D;s12n11usuario18;D;1;325.059.986.115;3226;rand;s12n11;CDD;CD;C;D
54;s12n11usuario15;D;s12n11usuario2;D;1;146.710.014.343;1441;rand;s12n11;DDD;DD;D;D
55;s12n11usuario15;D;s12n11usuario3;C;4;748.099.803.925;718;rand;s12n11;DDD;DD;D;D
56;s12n11usuario15;D;s12n11usuario8;D;1;137.199.997.902;1339;rand;s12n11;DCD;DC;D;C
57;s12n11usuario15;D;s12n11usuario13;D;1;124.539.995.193;1179;rand;s12n11;DDD;DD;D;D
58;s12n11usuario15;C;s12n11usuario13;D;0;207.539.987.564;2046;rand;s12n11;DDC;DD;D;D
59;s12n11usuario15;C;s12n11usuario5;D;0;114.120.006.561;1116;rand;s12n11;CDC;CD;C;D
60;s12n11usuario15;D;s12n11usuario6;D;1;187.879.991.531;1862;rand;s12n11;CDD;CD;C;D
61;s12n11usuario15;D;s12n11usuario13;C;4;124.000.000.954;1211;rand;s12n11;DDD;DD;D;D
62;s12n11usuario15;C;s12n11usuario4;D;0;228.959.989.548;2263;rand;s12n11;DCC;DC;D;C
63;s12n11usuario15;D;s12n11usuario17;C;4;151.669.979.095;1490;rand;s12n11;CDD;CD;C;D
64;s12n11usuario15;D;s12n11usuario6;D;1;24.876.999.855;2472;rand;s12n11;DCD;DC;D;C
65;s12n11usuario15;D;s12n11usuario10;D;1;259.999.990.463;2571;rand;s12n11;DDD;DD;D;D
66;s12n11usuario15;D;s12n11usuario4;D;1;135.800.004.005;1330;rand;s12n11;DDD;DD;D;D
67;s12n11usuario15;C;s12n11usuario1;C;3;117.359.995.842;1149;rand;s12n11;DDC;DD;D;D
68;s12n11usuario15;C;s12n11usuario18;D;0;106.990.003.586;1043;rand;s12n11;CCC;CC;C;C
69;s12n11usuario15;C;s12n11usuario1;C;3;8.846.001.625.060.000;861;rand;s12n11;CDC;CD;C;D
70;s12n11usuario15;C;s12n11usuario4;D;0;15.367.000.103;1511;rand;s12n11;CCC;CC;C;C
71;s12n11usuario15;C;s12n11usuario1;C;3;104.979.991.913;1026;rand;s12n11;CDC;CD;C;D
72;s12n11usuario15;C;s12n11usuario12;C;3;86.779.999.733;829;rand;s12n11;CCC;CC;C;C
73;s12n11usuario15;C;s12n11usuario16;D;0;9.906.001.091;966;rand;s12n11;CCC;CC;C;C
74;s12n11usuario15;C;s12n11usuario9;D;0;804.900.169.373;780;rand;s12n11;CDC;CD;C;D
75;s12n11usuario15;C;s12n11usuario16;D;0;876.300.096.512;849;rand;s12n11;CDC;CD;C;D
76;s12n11usuario15;C;s12n11usuario10;C;3;981.599.807.739;954;rand;s12n11;CDC;CD;C;D
77;s12n11usuario15;C;s12n11usuario3;D;0;88.689.994.812;843;rand;s12n11;CCC;CC;C;C
78;s12n11usuario15;C;s12n11usuario9;D;0;79.070.019.722;766;rand;s12n11;CDC;CD;C;D
79;s12n11usuario15;C;s12n11usuario11;D;0;126.519.989.967;1238;rand;s12n11;CDC;CD;C;D
80;s12n11usuario15;C;s12n11usuario7;D;0;18.014.998.436;1778;rand;s12n11;CDC;CD;C;D
81;s12n11usuario15;D;s12n11usuario13;D;1;110.689.997.673;1082;rand;s12n11;CDD;CD;C;D
82;s12n11usuario15;D;s12n11usuario18;D;1;551.199.913.025;500;rand;s12n11;DDD;DD;D;D
83;s12n11usuario15;D;s12n11usuario8;D;1;56.970.000.267;548;rand;s12n11;DDD;DD;D;D
84;s12n11usuario15;D;s12n11usuario8;D;1;496.500.015.259;472;rand;s12n11;DDD;DD;D;D
85;s12n11usuario15;D;s12n11usuario2;D;1;60.590.004.921;585;rand;s12n11;DDD;DD;D;D
86;s12n11usuario15;D;s12n11usuario1;D;1;480.599.880.219;457;rand;s12n11;DDD;DD;D;D
87;s12n11usuario15;D;s12n11usuario17;C;4;475.000.143.051;446;rand;s12n11;DDD;DD;D;D
88;s12n11usuario15;D;s12n11usuario9;D;1;118.840.003.014;1162;rand;s12n11;DCD;DC;D;C
89;s12n11usuario15;D;s12n11usuario17;C;4;213.359.999.657;2109;rand;s12n11;DDD;DD;D;D
90;s12n11usuario15;C;s12n11usuario4;D;0;186.069.989.204;1838;rand;s12n11;DCC;DC;D;C
91;s12n11usuario15;C;s12n11usuario7;C;3;20.789.000.988;2053;rand;s12n11;CDC;CD;C;D
92;s12n11usuario15;C;s12n11usuario4;D;0;17.498.998.642;1721;rand;s12n11;CCC;CC;C;C
93;s12n11usuario15;D;s12n11usuario13;D;1;173.010.015.488;1707;rand;s12n11;CDD;CD;C;D
94;s12n11usuario15;C;s12n11usuario8;D;0;113.490.009.308;1118;rand;s12n11;DDC;DD;D;D
95;s12n11usuario15;D;s12n11usuario4;D;1;119.729.995.728;1170;rand;s12n11;CDD;CD;C;D
96;s12n11usuario15;D;s12n11usuario5;D;1;909.899.950.027;877;rand;s12n11;DDD;DD;D;D
97;s12n11usuario15;C;s12n11usuario18;D;0;720.300.197.601;695;rand;s12n11;DDC;DD;D;D
98;s12n11usuario15;C;s12n11usuario4;D;0;112.179.994.583;1095;rand;s12n11;CDC;CD;C;D
99;s12n11usuario15;C;s12n11usuario10;D;0;124.099.993.706;1212;rand;s12n11;CDC;CD;C;D
100;s12n11usuario15;D;s12n11usuario10;C;4;190.039.992.332;1878;rand;s12n11;CDD;CD;C;D
1;s12n11usuario16;D;s12n11usuario17;C;4;467.840.003.967;4648;rand;s12n11;--;--;;
2;s12n11usuario16;D;s12n11usuario18;D;1;229.349.994.659;2264;rand;s12n11;DCD;DC;D;C
3;s12n11usuario16;D;s12n11usuario2;C;4;904.000.043.869;876;rand;s12n11;DDD;DD;D;D
4;s12n11usuario16;D;s12n11usuario5;C;4;902.299.880.981;875;rand;s12n11;DCD;DC;D;C
5;s12n11usuario16;D;s12n11usuario5;D;1;247.609.996.796;2453;rand;s12n11;DCD;DC;D;C
6;s12n11usuario16;D;s12n11usuario2;C;4;107.270.002.365;1047;rand;s12n11;DDD;DD;D;D
7;s12n11usuario16;D;s12n11usuario10;C;4;756.099.939.346;727;rand;s12n11;DCD;DC;D;C
8;s12n11usuario16;D;s12n11usuario18;D;1;111.890.006.065;1096;rand;s12n11;DCD;DC;D;C
9;s12n11usuario16;D;s12n11usuario3;D;1;82.120.013.237;796;rand;s12n11;DDD;DD;D;D
10;s12n11usuario16;D;s12n11usuario4;D;1;103.579.998.016;1018;rand;s12n11;DDD;DD;D;D
11;s12n11usuario16;D;s12n11usuario6;D;1;111.340.022.087;1087;rand;s12n11;DDD;DD;D;D
12;s12n11usuario16;D;s12n11usuario12;C;4;102.889.990.807;1004;rand;s12n11;DDD;DD;D;D
13;s12n11usuario16;D;s12n11usuario3;D;1;101.340.007.782;986;rand;s12n11;DCD;DC;D;C
14;s12n11usuario16;D;s12n11usuario9;D;1;850.900.173.187;823;rand;s12n11;DDD;DD;D;D
15;s12n11usuario16;D;s12n11usuario15;C;4;726.799.964.905;704;rand;s12n11;DDD;DD;D;D
16;s12n11usuario16;D;s12n11usuario7;D;1;518.399.953.842;490;rand;s12n11;DCD;DC;D;C
17;s12n11usuario16;D;s12n11usuario15;C;4;15.351.998.806;1504;rand;s12n11;DDD;DD;D;D
18;s12n11usuario16;D;s12n11usuario18;D;1;106.050.014.496;1035;rand;s12n11;DCD;DC;D;C
19;s12n11usuario16;D;s12n11usuario10;D;1;947.499.990.463;920;rand;s12n11;DDD;DD;D;D
20;s12n11usuario16;D;s12n11usuario5;D;1;982.199.907.303;956;rand;s12n11;DDD;DD;D;D
21;s12n11usuario16;D;s12n11usuario17;D;1;63.370.013.237;607;rand;s12n11;DDD;DD;D;D
22;s12n11usuario16;D;s12n11usuario18;D;1;939.399.957.657;920;rand;s12n11;DDD;DD;D;D
23;s12n11usuario16;D;s12n11usuario9;D;1;742.599.964.142;715;rand;s12n11;DDD;DD;D;D
24;s12n11usuario16;D;s12n11usuario6;D;1;860.399.961.472;834;rand;s12n11;DDD;DD;D;D
25;s12n11usuario16;D;s12n11usuario15;D;1;7.953.000.068.660.000;767;rand;s12n11;DDD;DD;D;D
26;s12n11usuario16;D;s12n11usuario7;D;1;690.399.885.178;659;rand;s12n11;DDD;DD;D;D
27;s12n11usuario16;D;s12n11usuario18;D;1;713.600.158.691;682;rand;s12n11;DDD;DD;D;D
28;s12n11usuario16;D;s12n11usuario2;D;1;526.899.814.606;497;rand;s12n11;DDD;DD;D;D
29;s12n11usuario16;D;s12n11usuario12;C;4;415.000.200.272;389;rand;s12n11;DDD;DD;D;D
30;s12n11usuario16;D;s12n11usuario17;C;4;661.699.771.881;634;rand;s12n11;DCD;DC;D;C
31;s12n11usuario16;D;s12n11usuario12;C;4;815.799.951.553;789;rand;s12n11;DCD;DC;D;C
32;s12n11usuario16;D;s12n11usuario8;D;1;880.000.114.441;822;rand;s12n11;DCD;DC;D;C
33;s12n11usuario16;D;s12n11usuario13;D;1;7.436.001.300.810.000;718;rand;s12n11;DDD;DD;D;D
34;s12n11usuario16;D;s12n11usuario6;C;4;7.049.999.237.060.000;685;rand;s12n11;DDD;DD;D;D
35;s12n11usuario16;D;s12n11usuario3;C;4;907.799.959.183;877;rand;s12n11;DCD;DC;D;C
36;s12n11usuario16;D;s12n11usuario14;D;1;526.000.022.888;501;rand;s12n11;DCD;DC;D;C
37;s12n11usuario16;D;s12n11usuario13;C;4;686.300.039.291;656;rand;s12n11;DDD;DD;D;D
38;s12n11usuario16;D;s12n11usuario17;C;4;558.300.018.311;533;rand;s12n11;DCD;DC;D;C
39;s12n11usuario16;D;s12n11usuario10;C;4;7.230.000.495.910.000;698;rand;s12n11;DCD;DC;D;C
40;s12n11usuario16;D;s12n11usuario6;D;1;4.537.000.656.130.000;426;rand;s12n11;DCD;DC;D;C
41;s12n11usuario16;D;s12n11usuario2;C;4;6.289.999.485.019.990;606;rand;s12n11;DDD;DD;D;D
42;s12n11usuario16;D;s12n11usuario5;D;1;50.400.018.692;476;rand;s12n11;DCD;DC;D;C
43;s12n11usuario16;D;s12n11usuario1;C;4;460.200.071.335;436;rand;s12n11;DDD;DD;D;D
44;s12n11usuario16;D;s12n11usuario11;D;1;720.599.889.755;693;rand;s12n11;DCD;DC;D;C
45;s12n11usuario16;D;s12n11usuario4;D;1;743.700.027.466;716;rand;s12n11;DDD;DD;D;D
46;s12n11usuario16;D;s12n11usuario9;D;1;490.700.006.485;464;rand;s12n11;DDD;DD;D;D
47;s12n11usuario16;D;s12n11usuario3;C;4;507.400.035.858;483;rand;s12n11;DDD;DD;D;D
48;s12n11usuario16;D;s12n11usuario17;D;1;51.709.985.733;493;rand;s12n11;DCD;DC;D;C
49;s12n11usuario16;D;s12n11usuario3;D;1;545.799.970.627;520;rand;s12n11;DDD;DD;D;D
50;s12n11usuario16;D;s12n11usuario14;D;1;239.240.002.632;2364;rand;s12n11;DDD;DD;D;D
51;s12n11usuario16;D;s12n11usuario18;D;1;577.100.038.528;551;rand;s12n11;DDD;DD;D;D
52;s12n11usuario16;D;s12n11usuario17;D;1;621.399.879.456;592;rand;s12n11;DDD;DD;D;D
53;s12n11usuario16;D;s12n11usuario3;C;4;621.999.979.019;596;rand;s12n11;DDD;DD;D;D
54;s12n11usuario16;D;s12n11usuario9;C;4;653.000.116.348;629;rand;s12n11;DCD;DC;D;C
55;s12n11usuario16;D;s12n11usuario7;C;4;502.900.123.596;477;rand;s12n11;DCD;DC;D;C
56;s12n11usuario16;D;s12n11usuario12;D;1;5.901.000.499.730.000;562;rand;s12n11;DCD;DC;D;C
57;s12n11usuario16;D;s12n11usuario12;D;1;5.399.999.618.530.000;514;rand;s12n11;DDD;DD;D;D
58;s12n11usuario16;D;s12n11usuario6;D;1;7.147.998.809.810.000;690;rand;s12n11;DDD;DD;D;D
59;s12n11usuario16;D;s12n11usuario8;D;1;500.699.996.948;475;rand;s12n11;DDD;DD;D;D
60;s12n11usuario16;D;s12n11usuario18;D;1;6.015.000.343.319.990;573;rand;s12n11;DDD;DD;D;D
61;s12n11usuario16;D;s12n11usuario14;D;1;649.099.826.813;619;rand;s12n11;DDD;DD;D;D
62;s12n11usuario16;D;s12n11usuario8;D;1;69.470.000.267;668;rand;s12n11;DDD;DD;D;D
63;s12n11usuario16;D;s12n11usuario2;D;1;620.399.951.935;595;rand;s12n11;DDD;DD;D;D
64;s12n11usuario16;D;s12n11usuario12;C;4;603.199.958.801;574;rand;s12n11;DDD;DD;D;D
65;s12n11usuario16;D;s12n11usuario3;D;1;11.180.999.279;1094;rand;s12n11;DCD;DC;D;C
66;s12n11usuario16;D;s12n11usuario10;D;1;139.100.003.242;1364;rand;s12n11;DDD;DD;D;D
67;s12n11usuario16;D;s12n11usuario7;D;1;488.700.151.443;464;rand;s12n11;DDD;DD;D;D
68;s12n11usuario16;D;s12n11usuario7;C;4;607.599.973.679;581;rand;s12n11;DDD;DD;D;D
69;s12n11usuario16;D;s12n11usuario10;C;4;591.000.080.109;567;rand;s12n11;DCD;DC;D;C
70;s12n11usuario16;D;s12n11usuario18;D;1;525.200.128.555;500;rand;s12n11;DCD;DC;D;C
